Season,Industry,Offer_Rate,Avg_Deal_Amount,Avg_Equity,Median_Valuation
1,Agriculture,0.5,5.0,20.0,650.0
1,Animal/Pets,0.5,27.5,6.25,1035.5
1,Beauty/Fashion,0.6538461538461539,25.423076923076923,11.48076923076923,850.0
1,Business Services,0.3076923076923077,11.538461538461538,0.6153846153846154,1250.0
1,Children/Education,0.7777777777777778,48.888888888888886,6.111111111111111,1500.0
1,Electronics,0.3333333333333333,33.333333333333336,13.333333333333334,1429.0
1,Entertainment,0.0,0.0,0.0,1500.0
1,Fitness/Sports/Outdoors,1.0,70.0,8.0,5000.0
1,Food and Beverage,0.6666666666666666,25.395239285714286,5.54452380952381,1875.0
1,Green/CleanTech,1.0,50.0,20.0,500.0
1,Hardware,0.5,12.5,37.5,985.0
1,Lifestyle/Home,1.0,0.0,0.0,6800.0
1,Manufacturing,0.5,23.75,4.425,1500.0
1,Medical/Health,0.7777777777777778,36.77789,5.778888888888889,3333.0
1,Technology/Software,0.8333333333333334,24.583333333333332,6.75,1250.0
1,Vehicles/Electrical Vehicles,0.8,34.2,11.7,10000.0
2,Agriculture,1.0,50.0,1.0,10000.0
2,Animal/Pets,0.0,0.0,0.0,1000.0
2,Beauty/Fashion,0.7741935483870968,42.29032258064516,4.959677419354839,2500.0
2,Business Services,0.7142857142857143,58.714285714285715,2.267857142857143,4250.0
2,Electronics,1.0,100.0,10.0,4000.0
2,Entertainment,1.0,150.0,0.6,30000.0
2,Fitness/Sports/Outdoors,0.4,13.0,3.5,2500.0
2,Food and Beverage,0.7333333333333333,33.13333333333333,5.189111111111111,2500.0
2,Green/CleanTech,0.5,30.0,2.5,1312.5
2,Lifestyle/Home,0.5,18.75,3.0416666666666665,1333.3333335
2,Liquor/Alcohol,0.5,25.0,2.5,6500.0
2,Manufacturing,0.7647058823529411,36.23529411764706,4.352941176470588,2500.0
2,Medical/Health,0.9333333333333333,79.06666666666666,4.026666666666666,5300.0
2,Technology/Software,0.6428571428571429,43.214285714285715,3.6257142857142854,4000.0
2,Vehicles/Electrical Vehicles,0.625,31.25,2.45875,4375.0
3,Agriculture,1.0,75.0,15.0,2500.0
3,Beauty/Fashion,0.6578947368421053,47.5,2.2323684210526316,5000.0
3,Business Services,0.45454545454545453,22.09090909090909,2.8636363636363638,3000.0
3,Children/Education,0.5,12.5,1.0,10833.3333335
3,Electronics,1.0,200.0,1.0,40000.0
3,Entertainment,0.0,0.0,0.0,666.6666667
3,Fitness/Sports/Outdoors,1.0,45.0,3.0,1000.0
3,Food and Beverage,0.7,36.666666666666664,4.466666666666667,2678.5714285
3,Green/CleanTech,0.8333333333333334,54.168749999999996,2.6666666666666665,3750.0
3,Lifestyle/Home,0.6,25.0,0.9199999999999999,2916.6666665000002
3,Liquor/Alcohol,1.0,73.33333333333333,5.333333333333333,2500.0
3,Manufacturing,0.3333333333333333,17.22222222222222,1.3333333333333333,6000.0
3,Medical/Health,0.9230769230769231,77.3076923076923,2.5646153846153847,4000.0
3,Others,0.5,20.0,1.0,4000.0
3,Technology/Software,0.6956521739130435,49.21739130434783,2.5217391304347827,4000.0
3,Vehicles/Electrical Vehicles,0.25,5.0,1.25,1000.0
4,Agriculture,1.0,18.333333333333332,1.0,5000.0
4,Animal/Pets,0.0,0.0,0.0,900.0
4,Beauty/Fashion,0.65625,67.53125,3.953125,3750.0
4,Business Services,0.75,37.5,1.45,8333.3333315
4,Children/Education,0.7142857142857143,44.357142857142854,4.257142857142857,5000.0
4,Entertainment,0.0,0.0,0.0,10000.0
4,Fitness/Sports/Outdoors,1.0,85.0,3.7944444444444443,5333.333333
4,Food and Beverage,0.72,68.4,4.1008,2500.0
4,Green/CleanTech,0.5,41.666666666666664,1.8333333333333333,3666.6666665000002
4,Lifestyle/Home,0.5,33.25,2.0475000000000003,4250.0
4,Liquor/Alcohol,0.0,0.0,0.0,30000.0
4,Manufacturing,0.8333333333333334,64.16666666666667,2.063333333333333,6333.333333500001
4,Medical/Health,0.5789473684210527,45.31578947368421,2.3542105263157898,4000.0
4,Others,0.6666666666666666,7.1000000000000005,2.3333333333333335,1800.0
4,Technology/Software,0.6666666666666666,95.0,8.555555555555555,5000.0
4,Vehicles/Electrical Vehicles,0.3333333333333333,16.666666666666668,1.0,5000.0
5,Animal/Pets,1.0,65.0,2.0,6800.0
5,Beauty/Fashion,0.6428571428571429,118.07142857142857,4.969285714285713,7083.333333500001
5,Children/Education,0.5,50.0,1.0,6250.0
5,Entertainment,1.0,75.0,5.0,5000.0
5,Fitness/Sports/Outdoors,0.0,0.0,0.0,750.0
5,Food and Beverage,0.6666666666666666,93.33333333333333,5.319166666666667,4300.0
5,Green/CleanTech,0.0,0.0,0.0,1615.384615
5,Lifestyle/Home,1.0,150.0,7.0,4500.0
5,Medical/Health,0.5,57.5,5.5,2747.005988
5,Technology/Software,0.7777777777777778,107.77777777777777,3.4722222222222223,2500.0
5,Vehicles/Electrical Vehicles,0.5,50.0,1.5,12500.0
